Rank,Movies Name,Movies Year,Movies Rate,🔗Movies page site
Top rated movie #76,Joker,((2019)),8.3,imdb.com/title/tt7286456/
Top rated movie #77,Das Boot,((1981)),8.3,imdb.com/title/tt0082096/
Top rated movie #78,Avengers: Endgame,((2019)),8.3,imdb.com/title/tt4154796/
Top rated movie #79,Mononoke-hime,((1997)),8.3,imdb.com/title/tt0119698/
Top rated movie #80,Good Will Hunting,((1997)),8.3,imdb.com/title/tt0119217/
Top rated movie #81,Once Upon a Time in America,((1984)),8.3,imdb.com/title/tt0087843/
Top rated movie #82,Kimi no na wa.,((2016)),8.3,imdb.com/title/tt5311514/
Top rated movie #83,3 Idiots,((2009)),8.3,imdb.com/title/tt1187043/
Top rated movie #84,Singin' in the Rain,((1952)),8.3,imdb.com/title/tt0045152/
Top rated movie #85,Requiem for a Dream,((2000)),8.3,imdb.com/title/tt0180093/
Top rated movie #86,Tengoku to jigoku,((1963)),8.3,imdb.com/title/tt0057565/
Top rated movie #87,Toy Story 3,((2010)),8.3,imdb.com/title/tt0435761/
Top rated movie #88,Capharnaüm,((2018)),8.3,imdb.com/title/tt8267604/
Top rated movie #89,Star Wars: Episode VI - Return of the Jedi,((1983)),8.3,imdb.com/title/tt0086190/
Top rated movie #90,2001: A Space Odyssey,((1968)),8.3,imdb.com/title/tt0062622/
Top rated movie #91,Eternal Sunshine of the Spotless Mind,((2004)),8.3,imdb.com/title/tt0338013/
Top rated movie #92,Idi i smotri,((1985)),8.3,imdb.com/title/tt0091251/
Top rated movie #93,Reservoir Dogs,((1992)),8.3,imdb.com/title/tt0105236/
Top rated movie #94,Jagten,((2012)),8.3,imdb.com/title/tt2106476/
Top rated movie #95,Lawrence of Arabia,((1962)),8.2,imdb.com/title/tt0056172/
Top rated movie #96,Citizen Kane,((1941)),8.2,imdb.com/title/tt0033467/
Top rated movie #97,M - Eine Stadt sucht einen Mörder,((1931)),8.2,imdb.com/title/tt0022100/
Top rated movie #98,Ikiru,((1952)),8.2,imdb.com/title/tt0044741/
Top rated movie #99,North by Northwest,((1959)),8.2,imdb.com/title/tt0053125/
Top rated movie #100,The Apartment,((1960)),8.2,imdb.com/title/tt0053604/
Top rated movie #101,Vertigo,((1958)),8.2,imdb.com/title/tt0052357/
Top rated movie #102,Le fabuleux destin d'Amélie Poulain,((2001)),8.2,imdb.com/title/tt0211915/
